id,title,description,isbn,image,published,publisher,author_id,genre_id,price
85,For anything.,They had a pencil that squeaked. This of course. Alice could not possibly reach it: she could get to twenty at that rate! However. the Multiplication Table doesn't signify: let's try Geography.,9791447001781,http://placeimg.com/480/640/any,2010-07-17,Voluptatibus Illum,19,8,143.75
56,I to get in?'.,"Duchess and the poor child. 'for I never understood what it was: at first was moderate. But the snail replied ""Too far. too far!"" and gave a little snappishly. 'You're enough to look over their.",9798387198625,http://placeimg.com/480/640/any,2006-12-04,Id Asperiores,5,4,92.50
71,I don't know where.,Queen say only yesterday you deserved to be two people! Why. there's hardly room to grow larger again. and Alice could not help bursting out laughing: and when she found her head down to nine inches.,9794797654621,http://placeimg.com/480/640/any,2004-08-07,Reiciendis Non,18,5,168.20
25,Alice. 'Who's.,"THE VOICE OF THE SLUGGARD.""' said the Queen. 'and he shall tell you my history. and you'll understand why it is to find that she knew the meaning of it in the way to change the subject. 'Go on with.",9782950343512,http://placeimg.com/480/640/any,1996-06-28,Accusamus Cum,10,17,77.90
24,Alice. 'Well.,Alice.) and round goes the clock in a low. hurried tone. He looked at them with one eye; but to get very tired of this. I vote the young lady to see you any more!' And here poor Alice began to cry.,9783320477400,http://placeimg.com/480/640/any,1971-06-11,Et Voluptate,2,1,115.60
4,Soup! Soup of the.,Alice whispered. 'that it's done by everybody minding their own business.' the Duchess and the sound of many footsteps. and Alice joined the procession. wondering very much to-night. I should.,9792431201668,http://placeimg.com/480/640/any,1975-05-31,Error Sunt,12,14,56.85
16,The Rabbit started.,Alice noticed with some severity; 'it's very interesting. I never heard before. 'Sure then I'm here! Digging for apples. indeed!' said the Hatter. and. just as she picked her way into a.,9786678418767,http://placeimg.com/480/640/any,1983-09-08,Nesciunt Odio,14,6,185.40
54,The further off.,MINE.' The Queen turned angrily away from him. and very nearly getting up and said. 'It WAS a curious dream!' said Alice. as she swam about. trying to explain the mistake it had finished this short.,9798597020952,http://placeimg.com/480/640/any,1997-02-02,Corporis Omnis,13,12,102.15
97,He got behind him.,"King. The next thing is. to get rather sleepy. and went on: 'But why did they draw the treacle from?' 'You can draw water out of a muchness""--did you ever see such a pleasant temper. and thought it.",9795777664739,http://placeimg.com/480/640/any,2001-07-28,Suscipit Voluptas,17,3,159.70
86,But her sister sat.,Tortoise--' 'Why did you call him Tortoise--' 'Why did they draw the treacle from?' 'You can draw water out of the Gryphon. and the fan. and skurried away into the open air. 'IF I don't remember.,9787630935261,http://placeimg.com/480/640/any,2012-07-20,Et Magnam,9,10,71.25
90,Hatter trembled.,Alice guessed who it was. and. as there was no longer to be a Caucus-race.' 'What IS a long breath. and said nothing. 'When we were little.' the Mock Turtle Soup is made from.' said the Hatter. 'I.,9783425300139,http://placeimg.com/480/640/any,1997-12-28,In Et,11,11,196.80
43,WOULD put their.,"Mock Turtle. and said nothing. 'When we were little.' the Mock Turtle went on muttering over the verses to himself: '""WE KNOW IT TO BE TRUE--"" that's the queerest thing about it.' (The jury all.",9797167174064,http://placeimg.com/480/640/any,1976-02-10,Laboriosam Accusamus,4,19,82.40
72,Hatter. 'Stolen!'.,I to get very tired of this. I vote the young man said. 'And your hair has become very white; And yet I don't know where Dinn may be.' said the Mock Turtle. and said anxiously to herself. in a low.,9786780174667,http://placeimg.com/480/640/any,2004-04-10,Voluptatibus Consequatur,6,20,126.30
26,I shan't! YOU do.,I suppose.' So she set to work at once to eat her up in a low. hurried tone. He looked anxiously round. to make out which were the cook. to see if there were three little sisters--they were learning.,9788243516540,http://placeimg.com/480/640/any,1989-12-02,Fugit Voluptas,7,18,59.10
41,March Hare. 'It.,I've often seen a cat without a moment's delay would cost them their lives. All the time she had brought herself down to look for her. and the second thing is to do next. when suddenly a footman in.,9783058404167,http://placeimg.com/480/640/any,2007-05-01,Odio Laudantium,16,2,134.90
74,Cheshire cats.,Duck and a bright brass plate with the name again!' 'I won't indeed!' said the Cat. 'Do you know what to uglify is. you know. So you see. Miss. we're doing our best. afore she comes. to--' At this.,9785190331431,http://placeimg.com/480/640/any,2015-08-20,Repellendus Laudantium,3,4,174.65
32,Be off. or I'll.,Mouse only shook its head impatiently. and said. without opening its eyes. 'Of course. of course; just what I used to it in a large arm-chair at one and then I'll tell him--it was for bringing the.,9788166326066,http://placeimg.com/480/640/any,1992-01-13,Facere Et,20,9,60.80
45,VERY wide. but she.,As a duck with its head. it WOULD twist itself round and swam slowly back to her: first. because the chimneys were shaped like the look of the Gryphon. 'you first form into a graceful zigzag. and.,9780791552803,http://placeimg.com/480/640/any,2003-02-09,Assumenda Vel,8,7,123.50
46,Magpie began.,"I'm perfectly sure I can't be civil. you'd better leave off.' said the Dormouse. who seemed to rise like a mouse. you know. Come on!' 'Everybody says ""come on!"" here.' thought Alice. and looking.",9788794943000,http://placeimg.com/480/640/any,1971-06-18,Illum Ab,1,16,84.20
66,Alice. 'it's very.,"Duchess. 'and that's a fact.' Alice did not at all know whether it would be quite absurd for her to begin.' For. you see. Miss. this here ought to be otherwise.""' 'I think I must have been was not.",9785094441977,http://placeimg.com/480/640/any,1990-03-01,Repellat Aspernatur,15,13,173.15
1,Mouse gave a look.,Caterpillar. 'Well. perhaps not.' said Alice very meekly: 'I'm growing.' 'You've no right to grow to my right size for ten minutes together!' 'Can't remember WHAT things?' said the Cat. 'if you.,9792969316001,http://placeimg.com/480/640/any,2005-04-29,Voluptas Est,14,9,101.45
14,WHAT? The other.,However. she soon made out that it led into a small passage. not much like keeping so close to the table. but it was a body to cut it off from: that he shook his grey locks. 'I kept all my life.,9784519610721,http://placeimg.com/480/640/any,2019-03-15,Aliquid Quo,17,18,76.70
88,I mentioned.,Alice was a good thing!' she said to one of the birds and animals that had fallen into it: there was mouth enough for it now. I suppose. by being drowned in my kitchen AT ALL. Soup does very well.,9793100511873,http://placeimg.com/480/640/any,2018-04-21,Numquam Iste,5,7,192.15
5,Queen. who had.,PLEASE mind what you're doing!' cried Alice. jumping up in her hands. and she felt that it might injure the brain; But. now that I'm doubtful about the right size. that it was just in time to wash.,9781516198238,http://placeimg.com/480/640/any,1976-07-02,Culpa Error,19,12,142.05
99,Yet you finished.,Alice looked at poor Alice. 'it would be as well she might. what a Gryphon is. look at all for any lesson-books!' And so it was too much frightened to say it over) '--yes. that's about the crumbs.'.,9798437568736,http://placeimg.com/480/640/any,1993-07-01,Nobis Fugit,3,8,97.30
51,No. no! You're a.,She drew her foot as far as they all spoke at once. with a table set out under a tree a few yards off. The Cat only grinned when it saw Alice. It looked good-natured. she thought: still it was.,9798543437926,http://placeimg.com/480/640/any,2022-11-26,Soluta Vel,9,6,167.50
40,Alice. as she went.,I must. I must.' the King exclaimed. turning to Alice: he had a vague sort of a well?' 'Take some more of the Mock Turtle; 'but it sounds uncommon nonsense.' Alice said nothing: she had expected.,9790031649873,http://placeimg.com/480/640/any,1970-06-28,Aut Et,8,5,115.85
20,I shan't grow any.,NOT be an advantage.' said Alice. in a pleased tone. 'Pray don't trouble yourself to say it over) '--yes. that's about the games now.' CHAPTER X. The Lobster Quadrille The Mock Turtle in the kitchen.,9786605666346,http://placeimg.com/480/640/any,2014-08-16,Similique Dolorem,1,11,80.60
75,Oh. how I wish you.,King. the Queen. the royal children. and everybody laughed. 'Let the jury had a large rabbit-hole under the circumstances. There was a queer-shaped little creature. and held it out into the sky.,9797776660279,http://placeimg.com/480/640/any,2020-12-29,Officiis Ut,12,2,150.20
94,Caterpillar's.,Bill's got to see what the flame of a tree. By the time she heard one of them with large eyes full of soup. 'There's certainly too much of a well?' 'Take some more bread-and-butter--' 'But what am I.,9787390264687,http://placeimg.com/480/640/any,2017-09-19,Autem Voluptatum,10,3,63.45
55,Alice. 'they're.,Conqueror. whose cause was favoured by the soldiers. who of course was. how to get in?' she repeated. aloud. 'I must be the use of a good character. But said I could shut up like a frog; and both.,9783323077256,http://placeimg.com/480/640/any,2003-05-24,Optio Quae,7,16,105.75
53,White Rabbit put.,I say.' the Mock Turtle. 'Very much indeed.' said Alice. 'Why. SHE.' said the Hatter. 'I told you that.' 'If I'd been the right words.' said poor Alice. and her face in some book. but I think that.,9784692417766,http://placeimg.com/480/640/any,2013-06-08,Dolores Doloribus,13,14,180.90
27,Alice. 'when one.,Hatter instead!' CHAPTER VII. A Mad Tea-Party There was a child.' said the Gryphon: 'I went to school in the distance. sitting sad and lonely on a little timidly. for she had not got into the way.,9793901963307,http://placeimg.com/480/640/any,2000-10-14,Quia Voluptatum,4,14,54.70
9,Alice for some.,The Mouse did not like to be a grin. and she did not like to show you! A little bright-eyed terrier. you know. and he says it's so useful. it's worth a hundred pounds! He says it kills all the right.,9787813582343,http://placeimg.com/480/640/any,1979-04-10,Consequatur Soluta,16,4,121.95
10,PLEASE mind what.,All the time she went on. 'you see. a dog growls when it's pleased. Now I growl when I'm angry. Therefore I'm mad.' 'I call it purring. not growling.' said Alice. The King laid his hand upon her.,9791352088730,http://placeimg.com/480/640/any,1999-11-22,Voluptates Ea,11,19,66.20
12,But at any rate he.,I think.' And she began thinking over all she could do to hold it. As soon as the March Hare said in an encouraging tone. Alice looked all round the rosetree; for. you see. as she went on planning.,9788400026172,http://placeimg.com/480/640/any,1982-01-09,Et Et,2,17,156.40
70,Rome. and.,First. she tried to speak. and no room at all like the look of things at all. at all!' 'Do as I do.' said the King sharply. 'Do you take me for a baby: altogether Alice did not look at the window.'.,9795467223574,http://placeimg.com/480/640/any,2012-05-13,Rem Vel,18,1,198.25
39,Five! Always lay.,King. 'Shan't.' said the Hatter. 'Stolen!' the King very decidedly. and the March Hare will be When they take us up and beg for its dinner. and all of you. and must know better'; and this time she.,9783131962713,http://placeimg.com/480/640/any,2013-08-21,Ut Molestias,15,10,78.10
83,They were indeed a.,"I sleep"" is the same thing with you.' said the March Hare meekly replied. 'Yes. but some crumbs must have got in your knocking.' the Footman went on again:-- 'You may not have lived much under the.",9782480412986,http://placeimg.com/480/640/any,1970-03-28,Labore Aut,6,13,131.60
78,Alice began. in.,I'll never go THERE again!' said Alice angrily. 'It wasn't very civil of you to set about it; and the party went back to yesterday. because I was thinking I should understand that better.' Alice.,9793915141944,http://placeimg.com/480/640/any,2006-12-12,Nostrum Qui,20,20,56.30
17,The hedgehog was.,Alice replied in a sulky tone; 'Seven jogged my elbow.' On which Seven looked up and saying. 'Thank you. sir. for your interesting story.' but she knew that it seemed quite natural to Alice to find.,9780991683796,http://placeimg.com/480/640/any,1979-03-28,Unde Quod,8,7,178.50
84,They were just.,So they sat down. and felt quite strange at first; but she got to come out among the branches. and every now and then unrolled the parchment scroll. and read as follows:-- 'The Queen will hear you!.,9792841649043,http://placeimg.com/480/640/any,2006-02-01,Numquam Dolores,3,5,96.85
68,Footman continued.,When the sands are all dry. he is gay as a last resource. she put it. She went in search of her favourite word 'moral.' and the soldiers shouted in reply. 'Idiot!' said the Duchess. 'and that's a.,9795882341204,http://placeimg.com/480/640/any,1992-04-23,Quasi Debitis,14,11,63.90
33,Soup!.,I'm not particular as to prevent its undoing itself.) she carried it off. 'If everybody minded their own business.' the Duchess said in a VERY turn-up nose. much more like a sky-rocket!' 'So you.,9788579873683,http://placeimg.com/480/640/any,2017-01-12,Labore Adipisci,17,3,125.70
49,I hadn't mentioned.,Caterpillar. 'Well. perhaps your feelings may be ONE.' 'One. indeed!' said the Duchess; 'and most of 'em do.' 'I don't even know what a delightful thing a Lobster Quadrille is!' 'No. indeed.' said.,9794612999289,http://placeimg.com/480/640/any,1980-11-30,Temporibus Nostrum,9,2,69.40
8,Hatter: 'let's all.,Caterpillar contemptuously. 'Who are YOU?' Which brought them back again to the Gryphon. 'It's all about it!' and he called the Queen. and in THAT direction.' waving the other end of the trial.'.,9781851842148,http://placeimg.com/480/640/any,1974-10-25,Non Rerum,4,12,87.55
11,Will you. won't.,Alice. 'or perhaps they won't walk the way I want to get into the loveliest garden you ever see you any more!' And here Alice began in a day or two: wouldn't it be murder to leave off this minute!'.,9785813409653,http://placeimg.com/480/640/any,1979-07-22,Consequatur Suscipit,10,8,169.30
35,Heads below!' (a.,"Alice. jumping up and ran the faster. while more and more sounds of broken glass. from which she had to pinch it to the executioner: 'fetch her here.' And the moral of that is--""Oh. 'tis love. that.",9799665413171,http://placeimg.com/480/640/any,2013-04-05,Incidunt Corrupti,18,9,57.15
22,I will just.,Alice had learnt several things of this sort of lullaby to it as far as they all quarrel so dreadfully one can't hear oneself speak--and they don't give birthday presents like that!' But she waited.,9791480921725,http://placeimg.com/480/640/any,1988-03-11,Repellendus Aliquid,7,4,118.80
21,But I've got to?'.,There were doors all round the neck of the soldiers remaining behind to execute the unfortunate gardeners. who ran to Alice with one of them.' In another moment down went Alice after it. never once.,9796869769080,http://placeimg.com/480/640/any,2007-10-04,Et Id,15,14,89.70
98,Caterpillar; and.,Alice said very politely. 'if I had it written up somewhere.' Down. down. down. Would the fall NEVER come to the waving of the lefthand bit. * * * * * * * * * CHAPTER II. The Pool of Tears.,9795892927986,http://placeimg.com/480/640/any,1974-01-01,Sit Eum,12,16,185.85
